COUNTY,STATE_ABBR,prop_damage
SABINE ,LA,0
SABINE ,TX,250000
SAN AUGUSTINE ,TX,500000
SAN JACINTO ,TX,40000000
SAN PATRICIO ,TX,500000000
SEMINOLE ,GA,300000000
SHARKEY ,MS,10000
SIMPSON ,MS,20000
SPALDING ,GA,0
ST. CHARLES ,LA,4120000
ST. HELENA ,LA,4260000
ST. JAMES ,LA,3560000
ST. JOHN THE BAPTIST ,LA,19950000
ST. LANDRY ,LA,103500000
ST. MARY ,LA,216000000
ST. TAMMANY ,LA,20270000
SUMTER ,GA,0
SUNF ,MS,10000
TANGIPAHOA ,LA,250000
TENSAS ,LA,200000
TERRELL ,GA,5000000
TOWNS ,GA,0
TRINITY ,TX,16000000
TROUP ,GA,0
TYLER ,TX,55000000
TYRRELL ,NC,10000000
UNION ,GA,0
UPSON ,GA,0
VERMILION ,LA,590000000
VERNON ,LA,901000000
VICTORIA ,TX,140000000
VOLUSIA ,FL,514400000
WAIANAE COAST ,HI,0
WALKER ,GA,0
WALKER ,TX,21500000
WALTHALL ,MS,200000
WARREN ,MS,50000
WASHINGTON ,FL,250000000
WASHINGTON ,LA,3287500
WASHINGTON ,MS,15000
WEBSTER ,LA,0
WHITE ,GA,0
WHITFIELD ,GA,0
WILCOX ,GA,0
WILKINSON ,MS,10690000
WILLACY ,TX,2590000
WILLIAMSBURG ,SC,5000000
WINN ,LA,0
WORTH ,GA,5000000
YAZOO ,MS,10000
